,,,
NEO CANDO Data Export,,,
,,,
County,Census Tract,pct_white,moe
Cuyahoga,1236.03,92.77,2.54
Cuyahoga,1237,79.56,7
Cuyahoga,1238,43.13,9.31
Cuyahoga,1239,78.75,5.01
Cuyahoga,1241,70.38,5.18
Cuyahoga,1242.01,74.77,7.34
Cuyahoga,1242.02,83.11,6
Cuyahoga,1243,45.61,5.78
Cuyahoga,1245,74.33,6.23
Cuyahoga,1246,72.72,2.97
Cuyahoga,1261,8.39,3.37
Cuyahoga,1275.01,5.93,4.05
Cuyahoga,1301.03,95.83,1.75
Cuyahoga,1301.04,97.58,5.95
Cuyahoga,1301.05,97.91,0.8
Cuyahoga,1301.06,98.69,0.3
Cuyahoga,1311.02,62.45,4.19
Cuyahoga,1311.03,93.02,1.74
Cuyahoga,1311.04,86.36,2.95
Cuyahoga,1321,48.07,4.03
Cuyahoga,1322,54.34,8.61
Cuyahoga,1323.01,39.24,8.39
Cuyahoga,1323.02,46.01,7.75
Cuyahoga,1331.03,15.82,5.94
Cuyahoga,1331.04,22.71,4.64
Cuyahoga,1341,77.45,9.38
Cuyahoga,1342.03,86.85,5.93
Cuyahoga,1342.04,92.71,5.83
Cuyahoga,1342.05,88.85,17.88
Cuyahoga,1342.06,93.65,0.96
Cuyahoga,1343,88.38,3.49
Cuyahoga,1351.03,97.84,2.22
Cuyahoga,1351.04,97.19,2.44
Cuyahoga,1351.05,90.7,3.67
Cuyahoga,1351.06,99.43,1.52
Cuyahoga,1361.01,91.6,3.12
Cuyahoga,1361.02,87.69,3.64
Cuyahoga,1361.03,92.16,3.93
Cuyahoga,1371.01,81.59,7.82
Cuyahoga,1371.02,87.03,5.78
Cuyahoga,1371.03,86.04,4.22
Cuyahoga,1381.05,75.51,19.36
Cuyahoga,1381.06,94.83,0.48
Cuyahoga,1381.07,98.98,2.38
Cuyahoga,1381.08,94.75,4.09
Cuyahoga,1381.09,94.29,2.98
Cuyahoga,1381.1,92.62,4.62
Cuyahoga,1401,13.67,4.43
Cuyahoga,1403.01,2.52,2.58
Cuyahoga,1403.02,35.14,5.65
Cuyahoga,1404,37.77,4.17
Cuyahoga,1405,32.29,5.26
Cuyahoga,1406,46.04,1.5
Cuyahoga,1407.01,30.78,5.89
Cuyahoga,1407.02,44.77,12.69
Cuyahoga,1408,54.73,7.03
Cuyahoga,1409,29.35,8.68
Cuyahoga,1410,22.01,7.72
Cuyahoga,1411,65.7,5.11
Cuyahoga,1412,77.75,4.11
Cuyahoga,1413,72.3,13.2
Cuyahoga,1414,82.29,6.67
Cuyahoga,1415,69.98,7.13
Cuyahoga,1416.01,81.87,4.59
Cuyahoga,1416.02,55.21,3.17
Cuyahoga,1417,87.46,5.45
Cuyahoga,1501,0,0.45
Cuyahoga,1503,0.38,0.65
Cuyahoga,1504,1.66,2.51
Cuyahoga,1511,2.56,2.66
Cuyahoga,1512,5.5,4.18
Cuyahoga,1513,24.4,5.43
Cuyahoga,1514,5.53,6.62
Cuyahoga,1515,4.95,2
Cuyahoga,1516,2.41,2.26
Cuyahoga,1517,6.27,3.59
Cuyahoga,1518,3.67,2.86
Cuyahoga,1521.01,76.82,10.43
Cuyahoga,1521.02,47.47,4.37
Cuyahoga,1522.01,36,6.88
Cuyahoga,1522.02,48.85,3.18
Cuyahoga,1523.01,37.55,5.18
Cuyahoga,1523.02,59.06,7.26
Cuyahoga,1523.03,60.29,8.53
Cuyahoga,1524,47.02,10.33
Cuyahoga,1525.01,47.82,7.1
Cuyahoga,1525.02,33.55,5.55
Cuyahoga,1526.03,29.14,8.77
Cuyahoga,1526.04,40.88,4.42
Cuyahoga,1527.01,11.86,5.25
Cuyahoga,1527.02,18.83,4.35
Cuyahoga,1527.03,38.83,6.69
Cuyahoga,1531.03,97.29,2.48
Cuyahoga,1531.04,96.57,2.61
Cuyahoga,1531.05,94.46,3.54
Cuyahoga,1531.06,97.67,0.97
Cuyahoga,1531.07,93.1,3.67
Cuyahoga,1541,64.93,7.68
Cuyahoga,1542,56.11,5.61
Cuyahoga,1543,8.75,6.58
Cuyahoga,1544,69.36,7.34
Cuyahoga,1545.01,70.6,5.44
Cuyahoga,1545.02,65.08,4.55
Cuyahoga,1546.01,65.87,2.65
Cuyahoga,1546.03,73.16,3.01
Cuyahoga,1546.04,75.81,4.37
Cuyahoga,1547,1.44,1.64
Cuyahoga,1551.01,89.98,3.19
Cuyahoga,1551.02,97.05,3.33
Cuyahoga,1561.01,94.61,5.12
Cuyahoga,1561.02,99.35,1.1
Cuyahoga,1601,94.68,7.3
Cuyahoga,1602,93.68,1.85
Cuyahoga,1603,88.81,5.55
Cuyahoga,1604,92.31,3.95
Cuyahoga,1605,95.23,4.1
Cuyahoga,1606.01,83.1,4.95
Cuyahoga,1606.02,70.36,0.55
Cuyahoga,1607,91.82,6.31
Cuyahoga,1608,92.34,4.31
Cuyahoga,1609,92.42,4.65
Cuyahoga,1610,91.07,5.65
Cuyahoga,1611,90.72,3.85
Cuyahoga,1612,81.15,6.31
Cuyahoga,1613,83.5,4.51
Cuyahoga,1614,90.93,6.33
Cuyahoga,1615,91.24,3.1
Cuyahoga,1616,87.36,7.19
Cuyahoga,1617,67.89,10.01
Cuyahoga,1618,81.97,21.17
Cuyahoga,1701.01,81.36,6.53
Cuyahoga,1701.02,88.67,6.13
Cuyahoga,1702.01,97.28,3.16
Cuyahoga,1702.02,94.56,1.03
Cuyahoga,1711.02,22.68,4.21
Cuyahoga,1711.03,16.28,4.22
Cuyahoga,1711.04,18.86,4.71
Cuyahoga,1712.03,43.05,3.73
Cuyahoga,1712.04,38.34,8.52
Cuyahoga,1712.05,42.77,11.32
Cuyahoga,1712.06,44.73,5.26
Cuyahoga,1721.01,95.04,4.85
Cuyahoga,1721.02,90.69,4.56
Cuyahoga,1721.03,66.58,5.8
Cuyahoga,1722.01,88.89,5.4
Cuyahoga,1722.02,82.07,8.41
Cuyahoga,1731.03,95.78,2.6
Cuyahoga,1731.04,94.06,3.53
Cuyahoga,1731.05,81.09,6.85
Cuyahoga,1731.06,68.19,5.29
Cuyahoga,1731.07,96.18,2.65
Cuyahoga,1741.03,90.15,7.15
Cuyahoga,1741.04,94.82,2.64
Cuyahoga,1741.05,92.25,2.33
Cuyahoga,1741.06,96.01,2.93
Cuyahoga,1741.07,97.22,2.4
Cuyahoga,1742.03,91.79,4.11
Cuyahoga,1742.04,96.52,3.32
Cuyahoga,1742.05,90.31,4.67
Cuyahoga,1742.06,96.28,6.18
Cuyahoga,1742.07,92.72,3.88
Cuyahoga,1751.03,93.87,1.88
Cuyahoga,1751.04,92.89,3.58
Cuyahoga,1751.05,95.88,2.04
Cuyahoga,1751.06,92.79,3.62
Cuyahoga,1752.01,94.43,2.49
Cuyahoga,1752.02,96.09,3.76
Cuyahoga,1761,99.72,0.61
Cuyahoga,1762,95.46,3.3
Cuyahoga,1771.01,82.6,6.19
Cuyahoga,1771.03,90.9,5.76
Cuyahoga,1771.04,94.95,0.85
Cuyahoga,1772.01,92.66,5.25
Cuyahoga,1772.02,94.31,4.88
Cuyahoga,1773.02,96.23,4.01
Cuyahoga,1773.03,94.95,3.26
Cuyahoga,1773.04,82.49,6.91
Cuyahoga,1774.03,95.19,8.79
Cuyahoga,1774.04,94.16,8.37
Cuyahoga,1774.05,95,3.61
Cuyahoga,1774.06,94.98,4.01
Cuyahoga,1775.01,97.45,2
Cuyahoga,1775.03,91.87,9.16
Cuyahoga,1775.04,95.34,3.88
Cuyahoga,1775.05,98.18,7.24
Cuyahoga,1776.04,97.2,2.44
Cuyahoga,1776.05,92.7,8.97
Cuyahoga,1776.06,93.22,10.28
Cuyahoga,1776.07,90.47,4.23
Cuyahoga,1776.08,90.78,6.17
Cuyahoga,1776.09,98.26,2.7
Cuyahoga,1781.01,94.05,4.14
Cuyahoga,1781.02,86.82,3.49
Cuyahoga,1782.01,92.82,3.34
Cuyahoga,1782.04,89.62,6.12
Cuyahoga,1782.05,96.44,2.89
Cuyahoga,1782.06,99.67,0.51
Cuyahoga,1791.01,85.64,6.13
Cuyahoga,1791.02,86.54,5.5
