,,,
NEO CANDO Data Export,,,
,,,
County,Census Tract,lead_number,lead_pct
Cuyahoga,1322,4,9.76
Cuyahoga,1323.01,1,1.89
Cuyahoga,1323.02,1,6.25
Cuyahoga,1331.03,0,0
Cuyahoga,1331.04,2,4.44
Cuyahoga,1341,-99,-99
Cuyahoga,1342.03,0,0
Cuyahoga,1342.04,0,0
Cuyahoga,1342.05,0,0
Cuyahoga,1342.06,0,0
Cuyahoga,1343,-99,-99
Cuyahoga,1351.03,0,0
Cuyahoga,1351.04,-99,-99
Cuyahoga,1351.05,0,0
Cuyahoga,1351.06,-99,-99
Cuyahoga,1361.01,1,3.7
Cuyahoga,1361.02,0,0
Cuyahoga,1361.03,0,0
Cuyahoga,1371.01,2,5.13
Cuyahoga,1371.02,0,0
Cuyahoga,1371.03,0,0
Cuyahoga,1381.05,0,0
Cuyahoga,1381.06,0,0
Cuyahoga,1381.07,0,0
Cuyahoga,1381.08,1,3.85
Cuyahoga,1381.09,1,3.45
Cuyahoga,1381.1,1,4
Cuyahoga,1401,3,11.11
Cuyahoga,1403.01,4,7.84
Cuyahoga,1403.02,3,5.36
Cuyahoga,1404,6,6.19
Cuyahoga,1405,3,4.05
Cuyahoga,1406,3,12.5
Cuyahoga,1407.01,11,15.07
Cuyahoga,1407.02,7,15.91
Cuyahoga,1408,0,0
Cuyahoga,1409,0,0
Cuyahoga,1410,2,4.26
Cuyahoga,1411,3,8.57
Cuyahoga,1412,3,7.89
Cuyahoga,1413,1,2.63
Cuyahoga,1414,1,2.27
Cuyahoga,1415,1,6.25
Cuyahoga,1416.01,0,0
Cuyahoga,1416.02,4,11.43
Cuyahoga,1417,0,0
Cuyahoga,1501,22,21.15
Cuyahoga,1503,20,33.33
Cuyahoga,1504,18,33.33
Cuyahoga,1511,4,14.81
Cuyahoga,1512,11,21.15
Cuyahoga,1513,1,7.14
Cuyahoga,1514,16,39.02
Cuyahoga,1515,13,26
Cuyahoga,1516,5,11.11
Cuyahoga,1517,9,21.43
Cuyahoga,1518,12,22.64
Cuyahoga,1521.01,2,6.9
Cuyahoga,1521.02,7,6.03
Cuyahoga,1522.01,0,0
Cuyahoga,1522.02,4,2.82
Cuyahoga,1523.01,0,0
Cuyahoga,1523.02,4,6.45
Cuyahoga,1523.03,4,5.19
Cuyahoga,1524,3,6.38
Cuyahoga,1525.01,1,1.49
Cuyahoga,1525.02,4,5.88
Cuyahoga,1526.03,1,3.13
Cuyahoga,1526.04,4,5.26
Cuyahoga,1527.01,3,10.34
Cuyahoga,1527.02,1,1.79
Cuyahoga,1527.03,2,7.69
Cuyahoga,1531.03,0,0
Cuyahoga,1531.04,0,0
Cuyahoga,1531.05,0,0
Cuyahoga,1531.06,0,0
Cuyahoga,1531.07,0,0
Cuyahoga,1541,1,2.04
Cuyahoga,1542,1,5.26
Cuyahoga,1543,1,2.5
Cuyahoga,1544,3,4.48
Cuyahoga,1545.01,3,5.17
Cuyahoga,1545.02,3,7.5
Cuyahoga,1546.01,7,12.73
Cuyahoga,1546.03,1,2.94
Cuyahoga,1546.04,0,0
Cuyahoga,1547,4,7.84
Cuyahoga,1551.01,0,0
Cuyahoga,1551.02,0,0
Cuyahoga,1561.01,-99,-99
Cuyahoga,1561.02,0,0
Cuyahoga,1601,4,15.38
Cuyahoga,1602,2,7.41
Cuyahoga,1603,0,0
Cuyahoga,1604,2,4.17
Cuyahoga,1605,1,2.17
Cuyahoga,1606.01,1,2.78
Cuyahoga,1606.02,4,9.3
Cuyahoga,1607,0,0
Cuyahoga,1608,-99,-99
Cuyahoga,1609,2,4.65
Cuyahoga,1610,1,3.33
Cuyahoga,1611,5,8.93
Cuyahoga,1612,2,4.17
Cuyahoga,1613,1,2.27
Cuyahoga,1614,7,12.96
Cuyahoga,1615,5,8.62
Cuyahoga,1616,4,13.33
Cuyahoga,1617,2,7.14
Cuyahoga,1618,4,19.05
Cuyahoga,1701.01,0,0
Cuyahoga,1701.02,1,1.32
Cuyahoga,1702.01,0,0
Cuyahoga,1702.02,0,0
Cuyahoga,1711.02,2,2.04
Cuyahoga,1711.03,5,6.67
Cuyahoga,1711.04,3,2.91
Cuyahoga,1712.03,2,4.44
Cuyahoga,1712.04,2,5.41
Cuyahoga,1712.05,0,0
Cuyahoga,1712.06,0,0
Cuyahoga,1721.01,0,0
Cuyahoga,1721.02,2,3.33
Cuyahoga,1721.03,2,4.08
Cuyahoga,1722.01,0,0
Cuyahoga,1722.02,3,5.36
Cuyahoga,1731.03,0,0
Cuyahoga,1731.04,1,5.56
Cuyahoga,1731.05,0,0
Cuyahoga,1731.06,5,7.94
Cuyahoga,1731.07,0,0
Cuyahoga,1741.03,0,0
Cuyahoga,1741.04,0,0
Cuyahoga,1741.05,0,0
Cuyahoga,1741.06,0,0
Cuyahoga,1741.07,0,0
Cuyahoga,1742.03,0,0
Cuyahoga,1742.04,0,0
Cuyahoga,1742.05,0,0
Cuyahoga,1742.06,0,0
Cuyahoga,1742.07,0,0
Cuyahoga,1751.03,2,5.56
Cuyahoga,1751.04,1,3.7
Cuyahoga,1751.05,1,4.35
Cuyahoga,1751.06,-99,-99
Cuyahoga,1752.01,0,0
Cuyahoga,1752.02,-99,-99
Cuyahoga,1761,-99,-99
Cuyahoga,1762,1,3.23
Cuyahoga,1771.01,1,1.43
Cuyahoga,1771.03,1,1.43
Cuyahoga,1771.04,0,0
Cuyahoga,1772.01,1,2.08
Cuyahoga,1772.02,2,5.26
Cuyahoga,1773.02,0,0
Cuyahoga,1773.03,0,0
Cuyahoga,1773.04,1,1.96
Cuyahoga,1774.03,0,0
Cuyahoga,1774.04,0,0
Cuyahoga,1774.05,2,3.85
Cuyahoga,1774.06,2,3.57
Cuyahoga,1775.01,1,2.08
Cuyahoga,1775.03,0,0
Cuyahoga,1775.04,0,0
Cuyahoga,1775.05,1,4.55
Cuyahoga,1776.04,0,0
Cuyahoga,1776.05,0,0
Cuyahoga,1776.06,0,0
Cuyahoga,1776.07,1,3.7
Cuyahoga,1776.08,0,0
Cuyahoga,1776.09,-99,-99
Cuyahoga,1781.01,0,0
Cuyahoga,1781.02,0,0
Cuyahoga,1782.01,0,0
Cuyahoga,1782.04,2,2.82
Cuyahoga,1782.05,0,0
Cuyahoga,1782.06,1,3.7
Cuyahoga,1791.01,0,0
Cuyahoga,1791.02,0,0
Cuyahoga,1801.02,0,0
Cuyahoga,1801.03,0,0
Cuyahoga,1801.04,3,3.85
Cuyahoga,1811,0,0
Cuyahoga,1812.01,0,0
Cuyahoga,1812.03,0,0
Cuyahoga,1812.04,1,2.78
Cuyahoga,1821.03,0,0
Cuyahoga,1821.04,0,0
Cuyahoga,1821.05,0,0
Cuyahoga,1821.06,0,0
Cuyahoga,1831,1,1.56
Cuyahoga,1832,1,3.03
Cuyahoga,1833,1,1.64
Cuyahoga,1834.01,1,2.08
Cuyahoga,1834.02,3,8.82
Cuyahoga,1835.01,0,0
Cuyahoga,1835.02,1,1.45
Cuyahoga,1836.03,2,6.45
Cuyahoga,1836.04,8,13.56
Cuyahoga,1836.05,1,3.13
Cuyahoga,1836.06,4,13.33
Cuyahoga,1841.03,0,0
Cuyahoga,1841.04,0,0
Cuyahoga,1841.05,0,0
Cuyahoga,1841.06,-99,-99
Cuyahoga,1841.08,1,3.23
Cuyahoga,1851.01,1,1.92
Cuyahoga,1851.02,3,8.57
Cuyahoga,1851.03,6,7.32
Cuyahoga,1851.04,0,0
Cuyahoga,1852.01,1,3.7
Cuyahoga,1852.02,3,4.05
Cuyahoga,1852.03,0,0
Cuyahoga,1861.03,0,0
Cuyahoga,1861.04,-99,-99
Cuyahoga,1861.05,1,8.33
Cuyahoga,1861.06,1,3.33
Cuyahoga,1861.07,0,0
Cuyahoga,1862.01,0,0
Cuyahoga,1862.02,0,0
Cuyahoga,1862.03,0,0
Cuyahoga,1862.05,0,0
Cuyahoga,1862.06,-99,-99
Cuyahoga,1871.03,5,8.62
Cuyahoga,1871.04,2,2.2
Cuyahoga,1871.05,0,0
Cuyahoga,1871.06,0,0
Cuyahoga,1881.03,6,9.23
Cuyahoga,1881.04,2,6.06
Cuyahoga,1881.05,2,2.06
Cuyahoga,1881.06,1,1.59
Cuyahoga,1881.07,8,10.26
Cuyahoga,1891.05,1,6.67
Cuyahoga,1891.07,0,0
Cuyahoga,1891.08,0,0
Cuyahoga,1891.09,0,0
Cuyahoga,1891.1,0,0
Cuyahoga,1891.11,0,0
Cuyahoga,1891.12,0,0
Cuyahoga,1905.02,-99,-99
Cuyahoga,1905.03,-99,-99
Cuyahoga,1905.04,2,3.64
Cuyahoga,1923,0,0
Cuyahoga,1928,1,5.88
Cuyahoga,1929,-99,-99
Cuyahoga,1938,0,0
Cuyahoga,1939,-99,-99
Cuyahoga,1941,-99,-99
Cuyahoga,1943,0,0
Cuyahoga,1945,0,0
Cuyahoga,1948,-99,-99
Cuyahoga,1949,0,0
Cuyahoga,1956,1,1.64
Cuyahoga,1957,0,0
Cuyahoga,1958,0,0
Cuyahoga,1959,0,0
Cuyahoga,1960,0,0
Cuyahoga,1961,1,2.27
Cuyahoga,1962,7,3.66
Cuyahoga,1963,0,0
Cuyahoga,1964,3,4.29
Cuyahoga,1965,6,11.54
Cuyahoga,9801,-99,-99
Cuyahoga,9805,null,null
Cuyahoga,9811,null,null
Cuyahoga,9966,null,null
Cuyahoga,9977,null,null
Cuyahoga,9988,null,null
Cuyahoga,9999,12,4.38
